doc,Edad,Infectados,Hospitalizados,UCI,Fallecidos
53,0_9,129,34,1,0
53,10_19,221,15,0,1
53,20_29,1285,183,8,4
53,30_39,2208,365,15,3
53,40_49,2919,663,40,9
53,50_59,3129,936,89,20
53,60_69,2916,1230,132,63
53,70_79,3132,1678,165,164
53,80_89,3020,1710,34,541
54,0_9,130,35,1,0
54,10_19,226,20,1,1
54,20_29,1352,200,10,4
54,30_39,2386,431,18,5
54,40_49,3190,778,45,9
54,50_59,3433,1074,106,22
54,60_69,3179,1432,162,74
54,70_79,3304,1858,192,184
54,80_89,2545,1470,34,403
55,0_9,134,40,1,0
55,10_19,230,22,2,1
55,20_29,1422,217,12,4
55,30_39,2511,448,23,5
55,40_49,3383,840,59,10
55,50_59,3698,1170,133,22
55,60_69,3403,1551,215,79
55,70_79,3555,2049,248,191
55,80_89,2736,1590,70,428
56,0_9,175,44,1,0
56,10_19,302,30,1,1
56,20_29,1932,282,15,4
56,30_39,3454,631,39,7
56,40_49,5045,1273,94,19
56,50_59,5749,1922,187,35
56,60_69,5397,2634,333,114
56,70_79,5377,3378,404,303
56,80_89,4080,2527,52,594
57,0_9,181,46,1,0
57,10_19,312,36,1,1
57,20_29,2011,295,16,4
57,30_39,3575,655,41,7
57,40_49,5242,1348,99,19
57,50_59,6030,2044,205,35
57,60_69,5633,2784,360,119
57,70_79,5620,3575,454,319
57,80_89,4267,2654,55,608
57,90_+,1378,735,5,255
58,0_9,186,49,1,0
58,10_19,317,35,1,1
58,20_29,2088,310,18,4
58,30_39,3774,697,41,7
58,40_49,5551,1460,108,19
58,50_59,6424,2201,227,37
58,60_69,5980,2999,392,123
58,70_79,5923,3790,490,343
58,80_89,4497,2791,56,642
58,90_+,1465,766,5,266
59,0_9,207,65,3,0
59,10_19,360,47,2,1
59,20_29,2802,444,22,6
59,30_39,5168,1070,60,10
59,40_49,7731,2204,134,35
59,50_59,9135,3350,286,74
59,60_69,8495,4459,519,225
59,70_79,8416,5729,597,749
59,80_89,6117,4054,62,1195
59,90_+,1804,1014,3,438
60,0_9,212,65,3,0
60,10_19,368,49,2,1
60,20_29,2883,451,22,6
60,30_39,5351,1099,65,10
60,40_49,7965,2252,146,36
60,50_59,9390,3431,295,78
60,60_69,8744,4609,555,232
60,70_79,8625,5869,620,759
60,80_89,6255,4137,68,1216
60,90_+,1833,1026,3,446
61,0_9,234,74,4,1
61,10_19,393,53,2,1
61,20_29,3016,474,22,6
61,30_39,5656,1163,66,13
61,40_49,8493,2442,149,43
61,50_59,10108,3744,303,99
61,60_69,9396,5023,570,295
61,70_79,9295,6405,643,914
61,80_89,6859,4576,71,1442
61,90_+,2034,1138,3,523
62,0_9,234,74,4,1
62,10_19,398,53,2,1
62,20_29,3039,477,22,6
62,30_39,5686,1171,67,14
62,40_49,8579,2463,158,44
62,50_59,10206,3795,318,101
62,60_69,9516,5078,586,301
62,70_79,9442,6481,672,929
62,80_89,6950,4623,75,1461
62,90_+,2063,1152,3,538
63,0_9,250,86,7,0
63,10_19,434,72,3,1
63,20_29,3590,546,29,6
63,30_39,6853,1376,86,18
63,40_49,10551,3039,215,49
63,50_59,12722,4795,432,131
63,60_69,11657,6511,779,373
63,70_79,11368,8114,820,1176
63,80_89,8857,5929,92,1879
63,90_+,2895,1563,6,728
